Echantillons;Etat;Var;Squalane;BetaCaryophyllene;AlphaCaryophyllene;Guaiol;gEudesmol;Bulnesol;AlphaBisabolol;Cannabinoide1;THV;Cannabinoide2;CBL;CBDCBC;D9THC;CBG;CBN;Nonacosane
IC007_a;Stupefiant;IC;3495239;1047;1615;3782;2673;1650;9001;1072;2535;1234;1404;79880;310103;973;8526;42906
IC007_b;Stupefiant;IC;3470650;1064;1636;3629;2326;1827;7822;0;2399;1635;1788;80754;310622;1264;8476;42701
IC008_a;Stupefiant;IC;3444976;909;1452;3552;2478;1857;7584;0;2874;2540;2009;141188;399747;1200;10391;32539
IC008_b;Stupefiant;IC;3452229;1100;1327;3450;2550;1956;8314;0;3192;3071;3663;158474;444357;1249;12407;34042
IC008_c;Stupefiant;IC;3452006;901;1296;3367;2311;1670;7438;1560;3645;3764;3185;161097;449624;1904;12546;37560
ML001_a;Stupefiant;ML;2557584;786;877;0;0;0;3899;1440;1653;3394;4176;219069;401650;4457;11852;26076
ML001_b;Stupefiant;ML;2531217;700;1033;0;0;0;4136;1411;1920;3427;4675;236138;423893;5669;11379;26293
ML001_c;Stupefiant;ML;2519074;837;1092;0;0;0;4045;1418;1802;3292;4016;232722;410162;5601;9259;23499
ML002_a;Stupefiant;ML;2538418;2036;2941;0;0;0;4943;1267;1886;2745;4345;229691;404178;4039;5694;20825
ML002_b;Stupefiant;ML;2520824;1850;2833;0;0;0;4983;1149;1606;2588;3771;223115;390231;3349;5771;20158
ML002_c;Stupefiant;ML;2443297;1698;2621;0;0;0;4583;1048;2022;2548;3545;227373;396131;2907;6471;21111
ML003_a;Stupefiant;ML;2486664;3027;3840;0;0;0;6912;1288;2795;3650;10156;426975;679441;3193;12928;21866
ML003_b;Stupefiant;ML;2482783;3686;4338;0;0;0;8101;1577;3012;4202;11154;436804;675193;3582;12093;23975
ML003_c;Stupefiant;ML;2462273;3214;4558;0;0;0;7471;1414;3060;3900;10377;440798;678346;4205;9278;24999
ML004_a;Stupefiant;ML;2517918;1777;2673;0;0;0;5543;0;2191;2680;6943;266677;441329;3334;6634;32307
ML004_b;Stupefiant;ML;2390187;1770;2518;0;0;0;5086;0;2031;2793;6281;267565;439298;3239;7933;29930
ML004_c;Stupefiant;ML;2510461;1759;2555;0;0;0;5338;1261;2195;2921;6503;288323;461498;3410;7757;29707
ML005_a;Stupefiant;ML;2509782;854;1322;0;0;0;3649;3267;1661;6954;3664;237075;357611;4077;8418;27835
