Place;Canton;Date;Name;MEC;AC;AcTB;X6MAM;DAM;PAP;NOS;Caffeine;Paracetamol
CRISSIER;VD;9/28/2007;363_10_07_17_c;235052;3326562;2337896;11393304;27885122;1350024;22005095;7342183;3235034
CRISSIER;VD;9/28/2007;363_10_07_17_b;190005;2507188;1863381;6890884;21111092;1024400;16556539;7389667;3180639
CRISSIER;VD;9/28/2007;363_10_07_17_a;190507;2755319;1946583;8481135;22826524;1111827;18230045;7899825;3101457
CRISSIER;VD;9/28/2007;363_10_07_16_c;188359;2591195;1937788;8054909;21526954;1128940;18145433;7350389;3595304
CRISSIER;VD;9/28/2007;363_10_07_16_b;170975;2645222;1903712;7967465;21962129;1144925;19250737;6863218;3855301
CRISSIER;VD;9/28/2007;363_10_07_16_a;157940;2878197;2185045;9572939;24066863;1201869;19991001;7789899;3968820
CRISSIER;VD;9/28/2007;363_10_07_15_b;273521;3863003;2951379;11694625;34356270;1608184;27401065;6565265;3016507
CRISSIER;VD;9/28/2007;363_10_07_15_a;252933;3577164;2561000;10052911;31825706;1446970;25781995;7813448;3561929
CRISSIER;VD;9/28/2007;363_10_07_14_c;189675;2904833;2059790;8475802;24662518;1187294;20121598;7813991;3297707
CRISSIER;VD;9/28/2007;363_10_07_14_b;156727;2057594;1577023;5261152;17079997;821752;13904500;7666885;3417829
CRISSIER;VD;9/28/2007;363_10_07_14_a;229668;3275501;2415202;9601927;28161961;1392154;23704917;7380142;3247653
CRISSIER;VD;9/28/2007;363_10_07_5_c;129436;3656199;2587262;10528857;29047002;1509253;25924439;6435411;3231243
CRISSIER;VD;9/28/2007;363_10_07_5_b;191840;3106504;2242439;8498832;24849370;1236159;21427340;6203473;3159738
CRISSIER;VD;9/28/2007;363_10_07_5_a;207883;3281685;2455997;9370658;26487388;1318940;22562676;7157393;3851655
CRISSIER;VD;9/28/2007;363_10_07_4_c;148619;2171707;1708518;5532330;16881563;877097;14841200;7702343;3787145
CRISSIER;VD;9/28/2007;363_10_07_4_b;211427;3226628;2442344;8411423;26193139;1269682;22037177;6773538;3951040
CRISSIER;VD;9/28/2007;363_10_07_4_a;220217;3273521;2445234;9226350;25574269;1327876;24315606;7423807;3107385
CRISSIER;VD;9/28/2007;363_10_07_3_c;179177;2678941;2015993;6692369;21265120;1061132;18316503;7925269;3275318
CRISSIER;VD;9/28/2007;363_10_07_3_b;227670;3526237;2711164;9040008;28288567;1456264;25329152;6967777;3957169
CRISSIER;VD;9/28/2007;363_10_07_3_a;254032;3159936;2386631;8340888;25576741;1212041;21232535;6023078;3904056
GRAND-SACONNEX;GE;11/28/2006;464_12_06_4_c;83884;1556871;359374;21467975;1222097;1187226;11436876;6354610;3662036
GRAND-SACONNEX;GE;11/28/2006;464_12_06_4_b;83488;1552537;367135;21708430;1222599;1184078;11721450;7262631;3531335
GRAND-SACONNEX;GE;11/28/2006;464_12_06_4_a;76346;1515668;356779;21272439;1211074;1181479;11356840;6706515;3159140
GRAND-SACONNEX;GE;11/28/2006;464_12_06_3_c;81443;1455098;319087;21063543;634096;1051638;11916839;7905973;3858328
GRAND-SACONNEX;GE;11/28/2006;464_12_06_3_b;72470;1461565;322143;21315488;636343;1061038;12178682;7304931;3405599
GRAND-SACONNEX;GE;11/28/2006;464_12_06_3_a;75998;1407983;317553;20438986;626681;1022381;11604575;6997164;3389779
GRAND-SACONNEX;GE;11/28/2006;464_12_06_2_c;75457;1582670;378988;19270122;2552971;1154998;12757687;7432165;3602488
GRAND-SACONNEX;GE;11/28/2006;464_12_06_2_b;72415;1619465;392814;19816690;2620551;1167366;13055123;6700990;3784403
GRAND-SACONNEX;GE;11/28/2006;464_12_06_2_a;74401;1553325;374415;18827364;2507458;1135139;12546315;7303671;3043858
VERNIER;GE;2/18/2008;133_04_08_21c;110826;2526171;323969;27456617;6966550;1434427;14341731;7769604;3138135
VERNIER;GE;2/18/2008;133_04_08_21b;102087;2526563;318435;26836953;7383616;1437493;14564190;6811458;3394054
VERNIER;GE;2/18/2008;133_04_08_21a;97960;2396396;309688;25858139;6812034;1368089;13544694;6434945;3474060
LAUSANNE;VD;2/28/2007;074_03_07_1_2c;308892;4257434;766982;3939773;42217953;2064970;23249837;6136101;3634606
LAUSANNE;VD;2/28/2007;074_03_07_1_2b;310420;4273123;753676;3778840;43115632;1992561;23352551;6904218;3649674
LAUSANNE;VD;2/28/2007;074_03_07_1_2a;343221;4810006;894332;4035950;48502606;2365167;27147521;7573009;3689666
LAUSANNE;VD;2/28/2007;074_03_07_1_1c;259034;3737516;669002;3333239;37678888;1705489;20036660;7363915;3759672
LAUSANNE;VD;2/28/2007;074_03_07_1_1b;279054;3940519;713121;3492406;39450086;1895750;22032708;7188454;3289019
LAUSANNE;VD;2/28/2007;074_03_07_1_1a;274082;3685040;711329;3068854;37097899;1829011;20966658;6297783;3728299
